时间,进水流量(m3/h),进水COD(mg/L),进水NH3-N(mg/L),进水TN(mg/L),进水TP(mg/L),曝气池DO(mg/L),SV30(%),MLSS(mg/L),TMP(kPa),出水COD(mg/L),出水NH3-N(mg/L),出水TN(mg/L),出水TP(mg/L),电耗(kWh/h),药耗(kg/h)
2026-06-01 00:00:00,738.0,393.5,33.1,50.2,5.52,1.69,28.0,3327.0,7.38,15.6,0.479,6.52,0.142,732.3,14.5
2026-06-01 01:00:00,531.7,338.5,32.3,50.9,5.75,1.83,28.3,3291.0,5.87,14.4,0.516,7.61,0.14,716.0,12.0
2026-06-01 02:00:00,711.1,408.2,33.6,52.2,5.31,1.95,32.2,3888.0,8.12,17.2,0.505,6.56,0.132,782.8,14.1
2026-06-01 03:00:00,974.7,410.3,45.9,66.7,3.92,2.08,32.8,3555.0,6.95,14.5,0.518,6.23,0.157,703.2,13.7
2026-06-01 04:00:00,761.8,300.1,32.0,50.7,5.27,1.66,32.4,3708.0,7.69,12.5,0.491,6.97,0.148,764.9,12.2
2026-06-01 05:00:00,585.2,361.9,32.3,53.1,5.07,1.24,34.6,3529.0,8.04,12.3,0.486,8.54,0.155,720.2,14.7
2026-06-01 06:00:00,838.5,450.0,39.5,60.3,4.5,2.01,33.2,3606.0,7.6,13.0,0.5,7.29,0.163,806.3,12.7
2026-06-01 07:00:00,833.6,354.1,27.6,47.2,5.56,2.22,33.9,3657.0,8.89,13.9,0.497,9.27,0.167,754.3,12.4
2026-06-01 08:00:00,802.0,348.7,34.4,53.0,4.22,1.89,33.2,3506.0,8.27,16.5,0.496,7.57,0.139,770.2,13.2
2026-06-01 09:00:00,864.1,290.5,30.6,53.9,5.08,2.04,31.8,3896.0,7.75,15.9,0.494,7.53,0.155,723.6,11.7
2026-06-01 10:00:00,859.0,379.5,27.4,47.5,4.93,2.06,28.0,3808.0,9.15,15.1,0.518,7.51,0.166,683.7,13.7
2026-06-01 11:00:00,864.2,343.8,40.3,61.3,5.45,2.05,33.2,3637.0,8.16,14.0,0.479,6.57,0.14,786.4,16.9
2026-06-01 12:00:00,880.5,361.4,41.5,62.6,5.26,1.72,29.6,3561.0,8.06,11.7,0.497,6.62,0.131,779.7,13.6
2026-06-01 13:00:00,854.6,341.7,41.7,63.7,4.31,2.0,26.8,3312.0,10.84,15.0,0.52,7.0,0.157,767.8,12.9
2026-06-01 14:00:00,909.3,366.3,38.0,60.6,4.24,1.92,24.6,3576.0,8.76,12.8,0.543,8.03,0.131,778.2,14.8
2026-06-01 15:00:00,991.5,358.7,37.7,56.9,5.99,1.7,21.0,3691.0,8.63,12.9,0.462,7.87,0.143,763.3,14.6
2026-06-01 16:00:00,920.3,353.4,39.0,58.5,9.01,1.88,20.3,3320.0,9.31,14.1,0.448,6.36,0.137,747.3,14.3
2026-06-01 17:00:00,853.4,447.6,28.5,47.2,4.72,2.15,22.6,3548.0,10.41,13.9,0.512,6.52,0.155,756.9,11.1
2026-06-01 18:00:00,988.4,336.1,33.5,52.5,5.26,2.04,23.7,3540.0,9.36,16.0,0.476,6.81,0.15,795.1,17.7
2026-06-01 19:00:00,1069.2,378.8,33.1,51.4,6.5,1.95,23.9,3918.0,12.16,13.9,0.452,6.99,0.13,789.5,17.9
2026-06-01 20:00:00,1047.0,420.2,38.4,58.1,4.18,1.81,25.9,4018.0,8.69,17.6,0.465,6.67,0.119,809.5,14.8
2026-06-01 21:00:00,744.2,381.9,36.7,53.6,5.32,2.39,18.6,3798.0,10.42,13.1,0.452,7.81,0.127,759.9,16.2
2026-06-01 22:00:00,880.4,338.3,39.5,61.3,5.09,1.84,22.1,3552.0,10.83,13.6,0.47,6.32,0.106,729.7,13.3
2026-06-01 23:00:00,818.8,373.2,26.5,45.3,8.95,2.02,26.2,3819.0,10.08,11.4,0.439,6.37,0.135,763.9,14.3
2026-06-02 00:00:00,822.5,338.0,41.7,63.1,9.56,2.11,27.5,3599.0,9.51,10.4,0.432,6.02,0.129,778.1,14.1
2026-06-02 01:00:00,568.3,411.5,42.5,60.7,5.51,1.76,26.2,3722.0,9.99,11.7,0.463,7.75,0.133,671.6,12.2
2026-06-02 02:00:00,653.5,324.9,37.8,60.4,5.19,1.77,27.9,3735.0,10.18,13.3,0.439,6.2,0.112,757.4,12.0
2026-06-02 03:00:00,918.8,378.3,30.8,51.1,5.11,2.22,33.3,3644.0,8.92,9.6,0.441,5.46,0.116,762.0,13.9
2026-06-02 04:00:00,784.9,385.3,40.0,57.9,4.16,1.51,32.0,3727.0,10.01,13.2,0.441,6.4,0.104,736.2,14.3
